[1/661] g10_elar_2.6A_2025_q14
[636/661] g10_elar_2.9D_2015_q19
[637/661] g10_elar_2.9D_2015_q17
[638/661] g10_elar_2.9D_2015_q20
[639/661] g10_elar_2.9D_2014_q16
[640/661] g10_elar_2.9D_2014_q14
[641/661] g10_elar_2.9D_2014_q13
[642/661] g10_elar_2.9D_2014_q12
[643/661] g10_elar_2.9D_2014_q15
[644/661] g10_elar_2.9D_2014_q18
[645/661] g10_elar_2.9D_2014_q20
[646/661] g10_elar_2.9D_2014_q19
[647/661] g10_elar_2.9D_2014_q22
[648/661] g10_elar_2.9D_2013_q19
[649/661] g10_elar_2.9D_2013_q17
[650/661] g10_elar_2.9D_2013_q21
[651/661] g10_elar_2.9D_2013_q16
[652/661] g10_elar_2.9D_2013_q22
[653/661] g10_elar_2.9D_2013_q20
[654/661] g10_elar_2.9D_2013_q26
[655/661] g10_elar_2.9D_2013_q30
[656/661] g10_elar_2.9D_2013_q29
[657/661] g10_elar_2.9D_2013_q24
[658/661] g10_elar_2.9D_2013_q25
[659/661] g10_elar_2.9D_2013_q27
[660/661] g10_elar_2.9D_2013_q28
[661/661] g10_elar_2.9D_2013_q23
Skipped 56 duplicate items after first occurrence dedupe.
Wrote 605 items to C:\Users\Casa-Desktop\Downloads\staar_first3_demo\collections\grade-10\elar\data\staar_catalog.json
